model,gen_level,acc
deepseek-chat,0,0.5208333333333334
deepseek-chat,1,0.2875
deepseek-chat,2,0.20833333333333334
deepseek-chat,3,0.020833333333333332
deepseek-reasoner,0,0.8125
deepseek-reasoner,1,0.575
deepseek-reasoner,2,0.4375
deepseek-reasoner,3,0.20833333333333334
gpt-3.5-turbo-instruct,0,0.08333333333333333
gpt-3.5-turbo-instruct,1,0.025
gpt-3.5-turbo-instruct,2,0.0625
gpt-3.5-turbo-instruct,3,0.041666666666666664
gpt-4.1,0,0.6041666666666666
gpt-4.1,1,0.45
gpt-4.1,2,0.3125
gpt-4.1,3,0.22916666666666666
gpt-4.1-mini,0,0.375
gpt-4.1-mini,1,0.275
gpt-4.1-mini,2,0.16666666666666666
gpt-4.1-mini,3,0.0625
gpt-4.1-nano,0,0.3333333333333333
gpt-4.1-nano,1,0.125
gpt-4.1-nano,2,0.08333333333333333
gpt-4.1-nano,3,0.0
gpt-4o,0,0.4166666666666667
gpt-4o,1,0.4375
gpt-4o,2,0.25
gpt-4o,3,0.20833333333333334
gpt-4o-mini,0,0.375
gpt-4o-mini,1,0.2125
gpt-4o-mini,2,0.16666666666666666
gpt-4o-mini,3,0.10416666666666667
gpt-5,0,0.9375
gpt-5,1,0.6075949367088608
gpt-5,2,0.5
gpt-5,3,0.3125
gpt-5-mini,0,0.8125
gpt-5-mini,1,0.575
gpt-5-mini,2,0.25
gpt-5-mini,3,0.16666666666666666
gpt-5-nano,0,0.7708333333333334
gpt-5-nano,1,0.2875
gpt-5-nano,2,0.125
gpt-5-nano,3,0.041666666666666664
o3-mini,0,0.7916666666666666
o3-mini,1,0.6125
o3-mini,2,0.3125
o3-mini,3,0.1875
o4-mini,0,0.9375
o4-mini,1,0.6625
o4-mini,2,0.375
o4-mini,3,0.3125
