model,near_far,label,acc
deepseek-chat,far,no,0.7272727272727273
deepseek-chat,far,yes,0.5714285714285714
deepseek-chat,near,no,0.8235294117647058
deepseek-chat,near,yes,0.7272727272727273
deepseek-reasoner,far,no,1.0
deepseek-reasoner,far,yes,0.5714285714285714
deepseek-reasoner,near,no,1.0
deepseek-reasoner,near,yes,0.8181818181818182
gpt-3.5-turbo-instruct,far,no,0.7272727272727273
gpt-3.5-turbo-instruct,far,yes,0.42857142857142855
gpt-3.5-turbo-instruct,near,no,0.35294117647058826
gpt-3.5-turbo-instruct,near,yes,0.8181818181818182
gpt-4.1,far,no,0.9090909090909091
gpt-4.1,far,yes,0.5
gpt-4.1,near,no,0.9411764705882353
gpt-4.1,near,yes,0.7272727272727273
gpt-4.1-mini,far,no,0.7272727272727273
gpt-4.1-mini,far,yes,0.5
gpt-4.1-mini,near,no,0.8823529411764706
gpt-4.1-mini,near,yes,0.7272727272727273
gpt-4.1-nano,far,no,0.6363636363636364
gpt-4.1-nano,far,yes,0.42857142857142855
gpt-4.1-nano,near,no,0.7647058823529411
gpt-4.1-nano,near,yes,0.45454545454545453
gpt-4o,far,no,0.8181818181818182
gpt-4o,far,yes,0.42857142857142855
gpt-4o,near,no,0.8823529411764706
gpt-4o,near,yes,0.8181818181818182
gpt-4o-mini,far,no,1.0
gpt-4o-mini,far,yes,0.21428571428571427
gpt-4o-mini,near,no,0.9411764705882353
gpt-4o-mini,near,yes,0.45454545454545453
gpt-5,far,no,0.9090909090909091
gpt-5,far,yes,0.6428571428571429
gpt-5,near,no,1.0
gpt-5,near,yes,0.7272727272727273
gpt-5-mini,far,no,1.0
gpt-5-mini,far,yes,0.7142857142857143
gpt-5-mini,near,no,0.8823529411764706
gpt-5-mini,near,yes,0.8181818181818182
gpt-5-nano,far,no,0.9090909090909091
gpt-5-nano,far,yes,0.7142857142857143
gpt-5-nano,near,no,0.9411764705882353
gpt-5-nano,near,yes,0.9090909090909091
o3-mini,far,no,0.9090909090909091
o3-mini,far,yes,0.2857142857142857
o3-mini,near,no,0.9411764705882353
o3-mini,near,yes,0.5454545454545454
o4-mini,far,no,0.9090909090909091
o4-mini,far,yes,0.7142857142857143
o4-mini,near,no,0.9411764705882353
o4-mini,near,yes,0.8181818181818182
